0.483455,0.516545
0.462985,0.537015
0.414336,0.585664
0.416254,0.583746
0.563865,0.436135
0.478633,0.521367
0.367812,0.632188
0.474572,0.525428
0.465799,0.534201
0.367078,0.632922
0.390121,0.609879
0.406788,0.593212
0.447615,0.552385
0.333958,0.666042
0.584425,0.415575
0.398606,0.601394
0.540857,0.459143
0.523627,0.476373
0.43471,0.56529
0.564761,0.435239
0.454368,0.545632
0.528877,0.471123
0.456383,0.543617
0.461227,0.538773
0.491673,0.508327
0.346849,0.653151
0.50056,0.49944
0.647842,0.352158
0.418567,0.581433
0.413809,0.586191
0.39275,0.60725
0.358411,0.641589
0.473025,0.526975
0.390592,0.609408
0.506266,0.493734
0.367753,0.632247
0.468812,0.531188
0.62567,0.37433
0.503617,0.496383
0.353797,0.646203
0.709436,0.290564
0.35486,0.64514
0.547929,0.452071
0.421819,0.578181
0.384464,0.615536
0.485567,0.514433
0.434731,0.565269
0.413649,0.586351
0.402483,0.597517
0.506129,0.493871
0.446455,0.553545
0.432512,0.567488
