0.11121,0.14397,0.14741,0.093966,0.080172,0.073276,0.35
0.1375,0.12404,0.13942,0.11442,0.050962,0.032692,0.40096
0.135,0.11375,0.1575,0.11875,0.05125,0.0325,0.39125
0.13596,0.10965,0.12982,0.10351,0.061404,0.048246,0.4114
0.15784,0.11863,0.1598,0.087255,0.067647,0.031373,0.37745
0.10851,0.11489,0.15638,0.089362,0.10426,0.080851,0.34574
0.14333,0.10583,0.13917,0.11833,0.056667,0.0425,0.39417
0.18864,0.12576,0.19924,0.14545,0.070455,0.058333,0.21212
0.18241,0.13426,0.1787,0.1713,0.072222,0.053704,0.20741
0.21579,0.15351,0.17719,0.14912,0.061404,0.059649,0.18333
0.142,0.153,0.18,0.115,0.147,0.09,0.173
0.17013,0.17273,0.18312,0.1526,0.072727,0.067532,0.18117
0.15597,0.15075,0.1806,0.14851,0.085075,0.073134,0.20597
0.14384,0.14589,0.21027,0.13699,0.11575,0.087671,0.15959
0,0,0,0,0,0,0
