0.080952,0.15079,0.17778,0.25397,0.13413,0.089683,0.1127
0.094681,0.13617,0.18085,0.30213,0.10638,0.068085,0.1117
0.16286,0.13,0.12714,0.34,0.068571,0.028571,0.14286
0.10204,0.13265,0.17245,0.32041,0.07551,0.054082,0.14286
0.12627,0.09661,0.17712,0.34492,0.077119,0.063559,0.11441
0.089516,0.14032,0.17097,0.28952,0.11532,0.069355,0.125
0.12455,0.10273,0.15818,0.33364,0.081818,0.05,0.14909
0.1875,0.13437,0.1625,0.15833,0.061458,0.055208,0.24063
0.18091,0.13273,0.17091,0.15818,0.077273,0.068182,0.21182
0.192,0.134,0.179,0.144,0.086,0.052,0.213
0.12095,0.16689,0.17838,0.13108,0.14257,0.12027,0.13986
0.16623,0.14091,0.17468,0.16104,0.094805,0.071429,0.19091
0.20385,0.12821,0.20128,0.14231,0.074359,0.055128,0.19487
0.16027,0.1411,0.17877,0.15753,0.093151,0.071233,0.19795
0.15217,0.15725,0.17826,0.13333,0.11159,0.10507,0.16232
