0.67262,0.09881,0.097619,0.13095
0.7069,0.072414,0.13621,0.084483
0.70455,0.068182,0.13409,0.093182
0.74432,0.064773,0.10455,0.086364
0.65877,0.088596,0.12456,0.12807
0.74286,0.072619,0.12976,0.054762
0.70948,0.081034,0.1181,0.091379
0.45672,0.16642,0.23955,0.13731
0.44648,0.15775,0.24859,0.14718
0.29432,0.20341,0.19205,0.31023
0.26923,0.21058,0.18654,0.33365
0.37945,0.18014,0.26027,0.18014
0.24948,0.23594,0.19479,0.31979
0.36845,0.16726,0.26845,0.19583
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
